chunk_index,start_sample,stage,stage_ms,chunk_total_ms
0,0,first_2_segments,942.00875,6724.416292
0,0,roformer_layer_pairs_2_3,921.29975,6724.416292
0,0,roformer_layer_pairs_4_5,894.780708,6724.416292
0,0,roformer_layer_pairs_6_7,956.662167,6724.416292
0,0,roformer_layer_pairs_8_9,981.637375,6724.416292
0,0,roformer_layer_pairs_10_11,970.833458,6724.416292
0,0,tail_pipeline,1057.194084,6724.416292
1,456000,first_2_segments,913.195708,6707.742043
1,456000,roformer_layer_pairs_2_3,893.14025,6707.742043
1,456000,roformer_layer_pairs_4_5,883.6215,6707.742043
1,456000,roformer_layer_pairs_6_7,975.891084,6707.742043
1,456000,roformer_layer_pairs_8_9,1002.4685,6707.742043
1,456000,roformer_layer_pairs_10_11,966.898667,6707.742043
1,456000,tail_pipeline,1072.526334,6707.742043
2,912000,first_2_segments,963.36425,6931.0945
2,912000,roformer_layer_pairs_2_3,984.421625,6931.0945
2,912000,roformer_layer_pairs_4_5,1009.102667,6931.0945
2,912000,roformer_layer_pairs_6_7,1011.105208,6931.0945
2,912000,roformer_layer_pairs_8_9,961.732708,6931.0945
2,912000,roformer_layer_pairs_10_11,950.156084,6931.0945
2,912000,tail_pipeline,1051.211958,6931.0945
3,1368000,first_2_segments,1004.38125,7017.4403330000005
3,1368000,roformer_layer_pairs_2_3,991.522541,7017.4403330000005
3,1368000,roformer_layer_pairs_4_5,1015.46075,7017.4403330000005
3,1368000,roformer_layer_pairs_6_7,987.37875,7017.4403330000005
3,1368000,roformer_layer_pairs_8_9,966.511209,7017.4403330000005
3,1368000,roformer_layer_pairs_10_11,1005.12225,7017.4403330000005
3,1368000,tail_pipeline,1047.063583,7017.4403330000005
4,1824000,first_2_segments,942.620958,6727.033168
4,1824000,roformer_layer_pairs_2_3,940.504459,6727.033168
4,1824000,roformer_layer_pairs_4_5,936.312667,6727.033168
4,1824000,roformer_layer_pairs_6_7,940.029042,6727.033168
4,1824000,roformer_layer_pairs_8_9,933.106166,6727.033168
4,1824000,roformer_layer_pairs_10_11,930.127834,6727.033168
4,1824000,tail_pipeline,1104.332042,6727.033168
5,2280000,first_2_segments,948.156833,6660.959
5,2280000,roformer_layer_pairs_2_3,933.0515,6660.959
5,2280000,roformer_layer_pairs_4_5,939.488792,6660.959
5,2280000,roformer_layer_pairs_6_7,942.9305,6660.959
5,2280000,roformer_layer_pairs_8_9,929.879583,6660.959
5,2280000,roformer_layer_pairs_10_11,940.425792,6660.959
5,2280000,tail_pipeline,1027.026,6660.959
6,2736000,first_2_segments,939.040459,6657.401918
6,2736000,roformer_layer_pairs_2_3,924.639208,6657.401918
6,2736000,roformer_layer_pairs_4_5,937.291667,6657.401918
6,2736000,roformer_layer_pairs_6_7,937.479375,6657.401918
6,2736000,roformer_layer_pairs_8_9,942.264542,6657.401918
6,2736000,roformer_layer_pairs_10_11,961.23075,6657.401918
6,2736000,tail_pipeline,1015.455917,6657.401918
7,3192000,first_2_segments,925.127833,6763.754083
7,3192000,roformer_layer_pairs_2_3,944.353792,6763.754083
7,3192000,roformer_layer_pairs_4_5,934.123958,6763.754083
7,3192000,roformer_layer_pairs_6_7,938.107875,6763.754083
7,3192000,roformer_layer_pairs_8_9,945.65575,6763.754083
7,3192000,roformer_layer_pairs_10_11,963.6775,6763.754083
7,3192000,tail_pipeline,1112.707375,6763.754083
8,3648000,first_2_segments,1006.011583,7120.5900839999995
8,3648000,roformer_layer_pairs_2_3,999.76625,7120.5900839999995
8,3648000,roformer_layer_pairs_4_5,1005.023667,7120.5900839999995
8,3648000,roformer_layer_pairs_6_7,1007.297084,7120.5900839999995
8,3648000,roformer_layer_pairs_8_9,1001.033667,7120.5900839999995
8,3648000,roformer_layer_pairs_10_11,1006.656916,7120.5900839999995
8,3648000,tail_pipeline,1094.800917,7120.5900839999995
9,4104000,first_2_segments,1003.585,7101.431377
9,4104000,roformer_layer_pairs_2_3,996.674167,7101.431377
9,4104000,roformer_layer_pairs_4_5,997.29125,7101.431377
9,4104000,roformer_layer_pairs_6_7,996.074792,7101.431377
9,4104000,roformer_layer_pairs_8_9,995.425459,7101.431377
