chunk_index,start_sample,stage,stage_ms,chunk_total_ms
0,0,first_2_segments,919.509125,6521.170623
0,0,roformer_layer_pairs_2_3,914.010083,6521.170623
0,0,roformer_layer_pairs_4_5,896.825416,6521.170623
0,0,roformer_layer_pairs_6_7,887.76675,6521.170623
0,0,roformer_layer_pairs_8_9,895.691708,6521.170623
0,0,roformer_layer_pairs_10_11,937.188,6521.170623
0,0,tail_pipeline,1070.179541,6521.170623
1,456000,first_2_segments,894.800792,6495.204749
1,456000,roformer_layer_pairs_2_3,913.483083,6495.204749
1,456000,roformer_layer_pairs_4_5,900.931875,6495.204749
1,456000,roformer_layer_pairs_6_7,878.933291,6495.204749
1,456000,roformer_layer_pairs_8_9,874.076167,6495.204749
1,456000,roformer_layer_pairs_10_11,940.213541,6495.204749
1,456000,tail_pipeline,1092.766,6495.204749
2,912000,first_2_segments,938.222708,6544.458250999999
2,912000,roformer_layer_pairs_2_3,919.846042,6544.458250999999
2,912000,roformer_layer_pairs_4_5,888.245167,6544.458250999999
2,912000,roformer_layer_pairs_6_7,901.256209,6544.458250999999
2,912000,roformer_layer_pairs_8_9,884.452166,6544.458250999999
2,912000,roformer_layer_pairs_10_11,973.948667,6544.458250999999
2,912000,tail_pipeline,1038.487292,6544.458250999999
3,1368000,first_2_segments,959.369459,6621.461707999999
3,1368000,roformer_layer_pairs_2_3,946.34475,6621.461707999999
3,1368000,roformer_layer_pairs_4_5,882.335666,6621.461707999999
3,1368000,roformer_layer_pairs_6_7,909.916042,6621.461707999999
3,1368000,roformer_layer_pairs_8_9,888.400333,6621.461707999999
3,1368000,roformer_layer_pairs_10_11,993.29,6621.461707999999
3,1368000,tail_pipeline,1041.805458,6621.461707999999
4,1824000,first_2_segments,992.5345,6854.280042
4,1824000,roformer_layer_pairs_2_3,986.104625,6854.280042
4,1824000,roformer_layer_pairs_4_5,951.699834,6854.280042
4,1824000,roformer_layer_pairs_6_7,949.37425,6854.280042
4,1824000,roformer_layer_pairs_8_9,946.405334,6854.280042
4,1824000,roformer_layer_pairs_10_11,946.623041,6854.280042
4,1824000,tail_pipeline,1081.538458,6854.280042
5,2280000,first_2_segments,1009.402958,6930.400041
5,2280000,roformer_layer_pairs_2_3,1004.960458,6930.400041
5,2280000,roformer_layer_pairs_4_5,942.950041,6930.400041
5,2280000,roformer_layer_pairs_6_7,942.122459,6930.400041
5,2280000,roformer_layer_pairs_8_9,968.281792,6930.400041
5,2280000,roformer_layer_pairs_10_11,970.727583,6930.400041
5,2280000,tail_pipeline,1091.95475,6930.400041
6,2736000,first_2_segments,1006.346125,6884.716581999999
6,2736000,roformer_layer_pairs_2_3,994.715292,6884.716581999999
6,2736000,roformer_layer_pairs_4_5,943.833041,6884.716581999999
6,2736000,roformer_layer_pairs_6_7,944.288583,6884.716581999999
6,2736000,roformer_layer_pairs_8_9,936.700792,6884.716581999999
6,2736000,roformer_layer_pairs_10_11,972.179208,6884.716581999999
6,2736000,tail_pipeline,1086.653541,6884.716581999999
7,3192000,first_2_segments,1006.887625,6896.891584000001
7,3192000,roformer_layer_pairs_2_3,963.790917,6896.891584000001
7,3192000,roformer_layer_pairs_4_5,957.07,6896.891584000001
7,3192000,roformer_layer_pairs_6_7,944.992084,6896.891584000001
7,3192000,roformer_layer_pairs_8_9,964.754375,6896.891584000001
7,3192000,roformer_layer_pairs_10_11,981.97925,6896.891584000001
7,3192000,tail_pipeline,1077.417333,6896.891584000001
8,3648000,first_2_segments,986.750291,7315.552249
8,3648000,roformer_layer_pairs_2_3,983.154458,7315.552249
8,3648000,roformer_layer_pairs_4_5,1000.069083,7315.552249
8,3648000,roformer_layer_pairs_6_7,1005.838958,7315.552249
8,3648000,roformer_layer_pairs_8_9,1004.441125,7315.552249
8,3648000,roformer_layer_pairs_10_11,1000.493042,7315.552249
8,3648000,tail_pipeline,1334.805292,7315.552249
9,4104000,first_2_segments,998.698875,7252.874959000001
9,4104000,roformer_layer_pairs_2_3,990.361209,7252.874959000001
9,4104000,roformer_layer_pairs_4_5,993.755,7252.874959000001
9,4104000,roformer_layer_pairs_6_7,997.511125,7252.874959000001
9,4104000,roformer_layer_pairs_8_9,996.067584,7252.874959000001
9,4104000,roformer_layer_pairs_10_11,1009.749958,7252.874959000001
9,4104000,tail_pipeline,1266.731208,7252.874959000001
10,4560000,first_2_segments,998.159667,7255.730501
10,4560000,roformer_layer_pairs_2_3,991.962125,7255.730501
10,4560000,roformer_layer_pairs_4_5,989.75325,7255.730501
10,4560000,roformer_layer_pairs_6_7,994.343667,7255.730501
10,4560000,roformer_layer_pairs_8_9,993.037542,7255.730501
10,4560000,roformer_layer_pairs_10_11,1031.462166,7255.730501
10,4560000,tail_pipeline,1257.012084,7255.730501
11,5016000,first_2_segments,997.42075,7413.895374
11,5016000,roformer_layer_pairs_2_3,992.716333,7413.895374
11,5016000,roformer_layer_pairs_4_5,996.660458,7413.895374
11,5016000,roformer_layer_pairs_6_7,991.148375,7413.895374
11,5016000,roformer_layer_pairs_8_9,993.400416,7413.895374
11,5016000,roformer_layer_pairs_10_11,1129.615625,7413.895374
11,5016000,tail_pipeline,1312.933417,7413.895374
12,5472000,first_2_segments,1019.264416,7732.589540999999
12,5472000,roformer_layer_pairs_2_3,1049.744041,7732.589540999999
12,5472000,roformer_layer_pairs_4_5,1077.426958,7732.589540999999
12,5472000,roformer_layer_pairs_6_7,1102.7915,7732.589540999999
12,5472000,roformer_layer_pairs_8_9,1115.384459,7732.589540999999
12,5472000,roformer_layer_pairs_10_11,1098.934375,7732.589540999999
12,5472000,tail_pipeline,1269.043792,7732.589540999999
13,5928000,first_2_segments,1103.625917,7914.337792
13,5928000,roformer_layer_pairs_2_3,1041.602792,7914.337792
13,5928000,roformer_layer_pairs_4_5,1126.325125,7914.337792
13,5928000,roformer_layer_pairs_6_7,1122.233208,7914.337792
13,5928000,roformer_layer_pairs_8_9,1124.400708,7914.337792
13,5928000,roformer_layer_pairs_10_11,1121.277792,7914.337792
13,5928000,tail_pipeline,1274.87225,7914.337792
14,6384000,first_2_segments,1120.606542,7968.415917
14,6384000,roformer_layer_pairs_2_3,1117.87575,7968.415917
14,6384000,roformer_layer_pairs_4_5,1074.14825,7968.415917
14,6384000,roformer_layer_pairs_6_7,1123.170542,7968.415917
14,6384000,roformer_layer_pairs_8_9,1120.662417,7968.415917
14,6384000,roformer_layer_pairs_10_11,1121.739208,7968.415917
14,6384000,tail_pipeline,1290.213208,7968.415917
15,6840000,first_2_segments,1043.814291,7857.728666
15,6840000,roformer_layer_pairs_2_3,1041.171708,7857.728666
